event_id,primary_classification,primary_score
22235362,organizations,0.664902
22240622,birthday_celebration,0.935816
22251210,birthday_celebration,0.866683
22260971,birthday_celebration,0.999126
22272392,wedding_related,0.99814
22279508,birthday_celebration,0.948142
22287077,wedding_related,0.849296
22288088,personal,0.394394
22289279,birthday_celebration,0.999371
22293026,greetings,0.805725
22295044,wedding_related,0.618552
22295958,greetings,0.977896
22301058,personal,0.895491
22301180,greetings,0.927312
22301706,wedding_related,0.662166
22309643,birthday_celebration,0.912696
22320234,birthday_celebration,0.994817
22321674,birthday_celebration,0.430389
22321818,organizations,0.664902
22323547,wedding_related,0.837327
22324807,greetings,0.998194
22327911,organizations,0.845972
22332879,wedding_related,0.960677
22334499,personal,0.86239
22341545,greetings,0.929491
22341567,greetings,0.951616
22342035,birthday_celebration,0.974869
22349528,wedding_related,0.96449
22359304,greetings,0.55436
22359719,birthday_celebration,0.970383
22360475,birthday_celebration,0.997722
22362280,organizations,0.619472
22362421,wedding_related,0.556598
22362457,personal,0.947298
22365717,wedding_related,0.439277
22368933,organizations,0.658329
22371246,wedding_related,0.995807
22388486,organizations,0.93215
22388721,organizations,0.451524
22390635,birthday_celebration,0.627681
22393835,wedding_related,0.891359
22396108,organizations,0.664902
22397441,organizations,0.323803
22398049,personal,0.732996
22399421,personal,0.840848
22401365,organizations,0.355896
22402786,birthday_celebration,0.974315
22403093,personal,0.992131
22412134,personal,0.78711
22414997,birthday_celebration,0.997559
22416603,personal,0.777814
22416728,personal,0.722307
22416999,personal,0.831508
22418027,greetings,0.971661
22418266,greetings,0.995929
22419180,organizations,0.942438
22425752,organizations,0.451524
22426021,birthday_celebration,0.932361
22427174,birthday_celebration,0.947189
22428525,birthday_celebration,0.994937
22432808,wedding_related,0.985456
22433204,birthday_celebration,0.938529
22433367,greetings,0.969332
22437057,personal,0.667769
22437940,personal,0.857581
22438736,organizations,0.664902
